id,title,abstract
1,Patch-based medical image segmentation using Quantum Tensor Networks,"Tensor networks are efficient factorisations of high dimensional tensors into
a network of lower order tensors. They have been most commonly used to model
entanglement in quantum many-body systems and more recently are witnessing
increased applications in supervised machine learning. In this work, we
formulate image segmentation in a supervised setting with tensor networks. The
key idea is to first lift the pixels in image patches to exponentially high
dimensional feature spaces and using a linear decision hyper-plane to classify
the input pixels into foreground and background classes. The high dimensional
linear model itself is approximated using the matrix product state (MPS) tensor
network. The MPS is weight-shared between the non-overlapping image patches
resulting in our strided tensor network model. The performance of the proposed
model is evaluated on three 2D- and one 3D- biomedical imaging datasets. The
performance of the proposed tensor network segmentation model is compared with
relevant baseline methods. In the 2D experiments, the tensor network model
yeilds competitive performance compared to the baseline methods while being
more resource efficient."
2,Segmenting two-dimensional structures with strided tensor networks,"Tensor networks provide an efficient approximation of operations involving
high dimensional tensors and have been extensively used in modelling quantum
many-body systems. More recently, supervised learning has been attempted with
tensor networks, primarily focused on tasks such as image classification. In
this work, we propose a novel formulation of tensor networks for supervised
image segmentation which allows them to operate on high resolution medical
images. We use the matrix product state (MPS) tensor network on non-overlapping
patches of a given input image to predict the segmentation mask by learning a
pixel-wise linear classification rule in a high dimensional space. The proposed
model is end-to-end trainable using backpropagation. It is implemented as a
Strided Tensor Network to reduce the parameter complexity. The performance of
the proposed method is evaluated on two public medical imaging datasets and
compared to relevant baselines. The evaluation shows that the strided tensor
network yields competitive performance compared to CNN-based models while using
fewer resources. Additionally, based on the experiments we discuss the
feasibility of using fully linear models for segmentation tasks."
3,3D Quantum Cuts for Automatic Segmentation of Porous Media in Tomography Images,"Binary segmentation of volumetric images of porous media is a crucial step
towards gaining a deeper understanding of the factors governing biogeochemical
processes at minute scales. Contemporary work primarily revolves around
primitive techniques based on global or local adaptive thresholding that have
known common drawbacks in image segmentation. Moreover, absence of a unified
benchmark prohibits quantitative evaluation, which further clouds the impact of
existing methodologies. In this study, we tackle the issue on both fronts.
Firstly, by drawing parallels with natural image segmentation, we propose a
novel, and automatic segmentation technique, 3D Quantum Cuts (QCuts-3D)
grounded on a state-of-the-art spectral clustering technique. Secondly, we
curate and present a publicly available dataset of 68 multiphase volumetric
images of porous media with diverse solid geometries, along with voxel-wise
ground truth annotations for each constituting phase. We provide comparative
evaluations between QCuts-3D and the current state-of-the-art over this dataset
across a variety of evaluation metrics. The proposed systematic approach
achieves a 26% increase in AUROC while achieving a substantial reduction of the
computational complexity of the state-of-the-art competitors. Moreover,
statistical analysis reveals that the proposed method exhibits significant
robustness against the compositional variations of porous media."
4,Graph Cut Segmentation Methods Revisited with a Quantum Algorithm,"The design and performance of computer vision algorithms are greatly
influenced by the hardware on which they are implemented. CPUs, multi-core
CPUs, FPGAs and GPUs have inspired new algorithms and enabled existing ideas to
be realized. This is notably the case with GPUs, which has significantly
changed the landscape of computer vision research through deep learning. As the
end of Moores law approaches, researchers and hardware manufacturers are
exploring alternative hardware computing paradigms. Quantum computers are a
very promising alternative and offer polynomial or even exponential speed-ups
over conventional computing for some problems. This paper presents a novel
approach to image segmentation that uses new quantum computing hardware.
Segmentation is formulated as a graph cut problem that can be mapped to the
quantum approximate optimization algorithm (QAOA). This algorithm can be
implemented on current and near-term quantum computers. Encouraging results are
presented on artificial and medical imaging data. This represents an important,
practical step towards leveraging quantum computers for computer vision."
5,Quantum Edge Detection for Image Segmentation in Optical Environments,"A quantum edge detector for image segmentation in optical environments is
presented in this work. A Boolean version of the same detector is presented
too. The quantum version of the new edge detector works with computational
basis states, exclusively. This way, we can easily avoid the problem of quantum
measurement retrieving the result of applying the new detector on the image.
Besides, a new criterion and logic based on projections onto vertical axis of
Bloch's Sphere exclusively are presented too. This approach will allow us: 1) a
simpler development of logic quantum operations, where they will closer to
those used in the classical logic operations, 2) building simple and robust
classical-to-quantum and quantum-to-classical interfaces. Said so far is
extended to quantum algorithms outside image processing too. In a special
section on metric and simulations, a new metric based on the comparison between
the classical and quantum versions algorithms for edge detection of images is
presented. Notable differences between the results of classical and quantum
versions of such algorithms (outside and inside of quantum computer,
respectively) show the existence of implementation problems involved in the
experiment, and that they have not been properly modeled for optical
environments. However, although they are different, the quantum results are
equally valid. The latter is clearly seen in the computer simulations"
6,Conjugate Variables as a Resource in Signal and Image Processing,"In this paper we develop a new technique to model joint distributions of
signals. Our technique is based on quantum mechanical conjugate variables. We
show that the transition probability of quantum states leads to a distance
function on the signals. This distance function obeys the triangle inequality
on all quantum states and becomes a metric on pure quantum states. Treating
signals as conjugate variables allows us to create a new approach to segment
them.
  Keywords: Quantum information, transition probability, Euclidean distance,
Fubini-study metric, Bhattacharyya coefficients, conjugate variable,
signal/sensor fusion, signal and image segmentation."
7,Information Obfuscation of Graph Neural Networks,"While the advent of Graph Neural Networks (GNNs) has greatly improved node
and graph representation learning in many applications, the neighborhood
aggregation scheme exposes additional vulnerabilities to adversaries seeking to
extract node-level information about sensitive attributes. In this paper, we
study the problem of protecting sensitive attributes by information obfuscation
when learning with graph structured data. We propose a framework to locally
filter out pre-determined sensitive attributes via adversarial training with
the total variation and the Wasserstein distance. Our method creates a strong
defense against inference attacks, while only suffering small loss in task
performance. Theoretically, we analyze the effectiveness of our framework
against a worst-case adversary, and characterize an inherent trade-off between
maximizing predictive accuracy and minimizing information leakage. Experiments
across multiple datasets from recommender systems, knowledge graphs and quantum
chemistry demonstrate that the proposed approach provides a robust defense
across various graph structures and tasks, while producing competitive GNN
encoders for downstream tasks."
8,Negational Symmetry of Quantum Neural Networks for Binary Pattern Classification,"Entanglement is a physical phenomenon, which has fueled recent successes of
quantum algorithms. Although quantum neural networks (QNNs) have shown
promising results in solving simple machine learning tasks recently, for the
time being, the effect of entanglement in QNNs and the behavior of QNNs in
binary pattern classification are still underexplored. In this work, we provide
some theoretical insight into the properties of QNNs by presenting and
analyzing a new form of invariance embedded in QNNs for both quantum binary
classification and quantum representation learning, which we term negational
symmetry. Given a quantum binary signal and its negational counterpart where a
bitwise NOT operation is applied to each quantum bit of the binary signal, a
QNN outputs the same logits. That is to say, QNNs cannot differentiate a
quantum binary signal and its negational counterpart in a binary classification
task. We further empirically evaluate the negational symmetry of QNNs in binary
pattern classification tasks using Google's quantum computing framework. The
theoretical and experimental results suggest that negational symmetry is a
fundamental property of QNNs, which is not shared by classical models. Our
findings also imply that negational symmetry is a double-edged sword in
practical quantum applications."
9,Spectral Inference Networks: Unifying Deep and Spectral Learning,"We present Spectral Inference Networks, a framework for learning
eigenfunctions of linear operators by stochastic optimization. Spectral
Inference Networks generalize Slow Feature Analysis to generic symmetric
operators, and are closely related to Variational Monte Carlo methods from
computational physics. As such, they can be a powerful tool for unsupervised
representation learning from video or graph-structured data. We cast training
Spectral Inference Networks as a bilevel optimization problem, which allows for
online learning of multiple eigenfunctions. We show results of training
Spectral Inference Networks on problems in quantum mechanics and feature
learning for videos on synthetic datasets. Our results demonstrate that
Spectral Inference Networks accurately recover eigenfunctions of linear
operators and can discover interpretable representations from video in a fully
unsupervised manner."
10,Quantum-soft QUBO Suppression for Accurate Object Detection,"Non-maximum suppression (NMS) has been adopted by default for removing
redundant object detections for decades. It eliminates false positives by only
keeping the image M with highest detection score and images whose overlap ratio
with M is less than a predefined threshold. However, this greedy algorithm may
not work well for object detection under occlusion scenario where true
positives with lower detection scores are possibly suppressed. In this paper,
we first map the task of removing redundant detections into Quadratic
Unconstrained Binary Optimization (QUBO) framework that consists of detection
score from each bounding box and overlap ratio between pair of bounding boxes.
Next, we solve the QUBO problem using the proposed Quantum-soft QUBO
Suppression (QSQS) algorithm for fast and accurate detection by exploiting
quantum computing advantages. Experiments indicate that QSQS improves mean
average precision from 74.20% to 75.11% for PASCAL VOC 2007. It consistently
outperforms NMS and soft-NMS for Reasonable subset of benchmark pedestrian
detection CityPersons."
